Yta,RAD,PL,D,Kappa,x,y,BV,StickVag
1,1,1,230,1,1,1,-0.0347,0
1,1,2,154,1,1,2,1.173,0
1,1,3,223,1,1,3,0.5096,0
1,1,4,278,1,1,4,1.0567,0
1,1,5,215,1,1,5,0.1719,0
1,1,6,NA,1,1,6,1.1844,0
1,1,7,55,1,1,7,1.28,0
1,1,8,191,1,1,8,0.6,0
1,1,9,NA,1,1,9,1.0993,0
1,1,10,210,1,1,10,0.0757,0
1,1,11,112,1,1,11,0.5739,0
1,1,12,170,1,1,12,0.2337,0
1,1,13,167,1,1,13,0.7504,0
1,2,1,225,1,2,1,0.8209,0
1,2,2,NA,0,2,2,0.9275,0
1,2,3,143,0,2,3,0.3281,0
1,2,4,186,0,2,4,0.294,0
1,2,5,265,0,2,5,1.5004,0
1,2,6,NA,0,2,6,0.5185,0
1,2,7,223,0,2,7,1.1909,0
1,2,8,184,0,2,8,1.1189,0
1,2,9,NA,0,2,9,0.1771,0
1,2,10,250,0,2,10,1.0208,0
1,2,11,191,0,2,11,0.7857,0
1,2,12,131,0,2,12,0.5252,0
1,2,13,152,0,2,13,0.7846,0
1,3,1,300,1,3,1,0.0233,0
1,3,2,NA,0,3,2,0.0947,0
1,3,3,146,0,3,3,0.5252,0
1,3,4,NA,0,3,4,0.8429,0
1,3,5,155,0,3,5,0.9187,0
1,3,6,NA,0,3,6,1.1442,0
1,3,7,120,0,3,7,0.0438,0
1,3,8,NA,0,3,8,0.6827,0
1,3,9,120,0,3,9,0.4422,0
1,3,10,146,0,3,10,-0.0835,0
1,3,11,165,0,3,11,0.9865,0
1,3,12,143,0,3,12,0.2098,0
1,3,13,NA,0,3,13,NA,0
1,4,1,272,1,4,1,2.0266,0
1,4,2,220,0,4,2,1.322,0
1,4,3,120,0,4,3,0.4709,0
1,4,4,140,0,4,4,0.332,0
1,4,5,185,0,4,5,0.7229,0
1,4,6,NA,0,4,6,1.0557,0
1,4,7,224,0,4,7,1.2577,0
1,4,8,NA,0,4,8,0.3132,0
1,4,9,110,0,4,9,0.7261,0
1,4,10,184,0,4,10,1.2417,0
1,4,11,141,0,4,11,0.5191,0
1,4,12,153,0,4,12,1.0567,0
1,4,13,NA,0,4,13,0.2,0
1,5,1,185,1,5,1,-0.2317,0
1,5,2,NA,0,5,2,0.0562,0
1,5,3,104,0,5,3,0.1373,0
1,5,4,143,0,5,4,0.802,0
1,5,5,127,0,5,5,0.1633,0
1,5,6,125,0,5,6,-0.0534,0
1,5,7,150,0,5,7,0.4834,0
1,5,8,145,0,5,8,0.563,0
1,5,9,194,0,5,9,0.5875,0
1,5,10,NA,0,5,10,0.7407,0
1,5,11,131,0,5,11,1.045,0
1,5,12,140,0,5,12,0.9598,0
1,5,13,171,0,5,13,0.496,0
1,6,1,NA,1,6,1,0.2139,0
1,6,2,173,0,6,2,0.0517,0
1,6,3,200,0,6,3,0.7365,0
1,6,4,195,0,6,4,1.2584,0
1,6,5,100,0,6,5,-0.2482,0
1,6,6,150,0,6,6,0.7516,0
1,6,7,146,0,6,7,0.0889,0
